	company_name	time_departure	time_arrival	city_departure	city_arrival	flight_type	price	date	date_dt	time_departure_dt	time_arrival_dt	day_name	is_weekend
1	Pobeda	07:55	09:25	VKO	KZN	Прямой	4189.0	20220102	2022-01-02	07:55:00	09:25:00	Sunday	1
2	Pobeda	08:10	09:45	VKO	KZN	Прямой	4189.0	20220102	2022-01-02	08:10:00	09:45:00	Sunday	1
3	Pobeda	19:45	21:20	VKO	KZN	Прямой	4199.0	20220102	2022-01-02	19:45:00	21:20:00	Sunday	1
4	S7 Airlines	23:55	01:30	DME	KZN	Прямой	4548.0	20220102	2022-01-02	23:55:00	01:30:00	Sunday	1
5	S7 Airlines	08:00	09:35	DME	KZN	Прямой	5923.0	20220102	2022-01-02	08:00:00	09:35:00	Sunday	1
6	S7 Airlines	14:40	16:15	DME	KZN	Прямой	5923.0	20220102	2022-01-02	14:40:00	16:15:00	Sunday	1
7	S7 Airlines	17:50	19:25	DME	KZN	Прямой	5923.0	20220102	2022-01-02	17:50:00	19:25:00	Sunday	1
1	Pobeda	07:55	09:25	VKO	KZN	Прямой	4189.0	20220102	2022-01-02	07:55:00	09:25:00	Sunday	1
2	Pobeda	08:10	09:45	VKO	KZN	Прямой	4189.0	20220102	2022-01-02	08:10:00	09:45:00	Sunday	1
3	Pobeda	19:45	21:20	VKO	KZN	Прямой	4199.0	20220102	2022-01-02	19:45:00	21:20:00	Sunday	1
4	S7 Airlines	23:55	01:30	DME	KZN	Прямой	4548.0	20220102	2022-01-02	23:55:00	01:30:00	Sunday	1
5	S7 Airlines	08:00	09:35	DME	KZN	Прямой	5923.0	20220102	2022-01-02	08:00:00	09:35:00	Sunday	1
6	S7 Airlines	14:40	16:15	DME	KZN	Прямой	5923.0	20220102	2022-01-02	14:40:00	16:15:00	Sunday	1
7	S7 Airlines	17:50	19:25	DME	KZN	Прямой	5923.0	20220102	2022-01-02	17:50:00	19:25:00	Sunday	1
1	Pobeda	07:55	09:25	VKO	KZN	Прямой	4189.0	20220102	2022-01-02	07:55:00	09:25:00	Sunday	1
2	Pobeda	08:10	09:45	VKO	KZN	Прямой	4189.0	20220102	2022-01-02	08:10:00	09:45:00	Sunday	1
